scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.348,0.526,16.303,17.148,18.315,20.357,16.916,0.613,0,897,897,1.0000,34.04,36.00
cam-both-rcs-mjpeg-rtp,stream,821,840,0.0226,30.00,8.744,0.531,8.708,9.498,10.740,12.120,12.034,3.326,0,881,881,1.0000,3.71,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,821,840,0.0226,30.00,2.687,0.459,2.613,3.428,4.493,6.058,5.938,3.326,0,881,881,1.0000,3.71,6.00
ros-stream-ffmpeg_transport-raw-h264,stream,833,840,0.0083,30.00,17.918,0.594,17.836,18.663,19.444,27.192,22.586,4.750,0,893,893,1.0000,,
cam-stream-rcs-yuv-webrtc,stream,818,840,0.0262,30.00,9.330,0.475,9.287,10.142,11.213,12.569,9.909,0.621,0,878,878,1.0000,9.25,10.50
cam-ros-rcs-mjpeg,ros_jpeg,823,840,0.0202,30.00,2.432,0.292,2.402,2.884,3.162,4.697,5.686,3.283,0,883,883,1.0000,0.82,2.00
ros-stream-rtsp_fkie-raw-h264,stream,836,840,0.0048,30.00,11.475,0.370,11.420,12.067,12.986,14.150,16.195,4.776,0,896,896,1.0000,12.32,14.00
ros-stream-rcs-raw-webrtc,stream,796,840,0.0524,30.00,15.717,0.580,15.659,16.435,17.974,20.647,20.421,4.762,0,856,856,1.0000,19.25,20.50
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,15.956,0.605,15.975,16.766,17.884,20.535,16.616,0.641,0,896,896,1.0000,30.82,34.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.00,7.709,0.785,7.535,8.868,11.448,17.448,8.176,0.641,0,960,960,1.0000,30.82,34.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,17.977,0.713,17.891,19.096,20.600,24.352,21.215,3.324,0,898,898,1.0000,40.86,44.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,849,840,0.0000,30.01,7.791,0.481,7.731,8.369,9.182,13.723,11.055,3.324,0,909,909,1.0000,40.86,44.00
