scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
ros-stream-rcs-raw-rtp,stream,824,840,0.0190,30.00,16.595,0.672,16.535,17.582,18.785,24.063,21.262,4.727,0,884,884,1.0000,19.11,20.00
ros-stream-rcs-raw-webrtc,stream,797,840,0.0512,30.00,15.735,0.606,15.662,16.660,18.261,19.256,20.445,4.783,0,857,857,1.0000,19.32,20.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,16.045,0.771,16.005,17.512,18.666,21.247,16.629,0.625,0,896,896,1.0000,30.82,34.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.00,7.751,0.794,7.559,8.871,11.737,15.405,8.184,0.625,0,960,960,1.0000,30.82,34.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,835,840,0.0060,30.00,15.436,0.969,15.314,16.975,19.049,20.979,15.947,0.634,0,895,895,1.0000,49.89,54.00
cam-ros-rcs-mjpeg-decoded,ros_raw,818,840,0.0262,30.00,11.733,0.636,11.724,12.305,13.276,18.694,15.032,3.307,0,878,878,1.0000,27.00,30.50
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,834,840,0.0071,30.00,21.373,0.709,21.328,22.167,23.953,31.363,21.970,0.642,0,894,894,1.0000,36.50,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,29.99,14.387,2.073,14.632,15.250,16.871,39.814,15.274,0.642,0,960,960,1.0000,36.50,38.00
ros-stream-ffmpeg_transport-raw-h264,stream,834,840,0.0071,30.00,22.635,0.493,22.566,23.504,24.191,26.958,22.566,0.000,0,894,894,1.0000,,
ros-stream-rtsp_fkie-raw-h264,stream,835,840,0.0060,30.00,11.504,0.538,11.410,12.368,13.710,17.419,16.274,4.863,0,895,895,1.0000,12.43,14.00
cam-both-rcs-mjpeg-rtp,stream,825,840,0.0179,30.00,8.738,0.581,8.678,9.549,10.944,13.133,11.987,3.310,0,885,885,1.0000,3.64,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,826,840,0.0167,30.01,2.617,0.569,2.540,3.112,4.277,8.990,5.850,3.310,0,886,886,1.0000,3.64,6.00
cam-stream-rcs-yuv-rtp,stream,817,840,0.0274,30.00,10.299,0.465,10.251,11.017,12.004,13.350,10.888,0.637,0,877,877,1.0000,9.46,12.00
cam-ros-rcs-yuv,ros_raw,828,840,0.0143,30.00,6.473,0.477,6.410,6.842,8.044,11.224,7.056,0.646,0,888,888,1.0000,14.21,16.50
cam-stream-floor,stream,839,840,0.0012,30.00,8.500,0.814,8.361,10.018,12.311,15.516,9.006,0.646,0,899,899,1.0000,8.18,10.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,17.817,0.643,17.757,18.805,19.972,22.242,21.072,3.315,0,898,898,1.0000,40.39,42.50
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,845,840,0.0000,30.00,7.733,0.416,7.703,8.303,9.020,11.286,11.018,3.315,0,905,905,1.0000,40.39,42.50
cam-both-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,20.017,0.698,19.966,20.896,23.108,24.799,20.594,0.628,0,897,897,1.0000,46.68,50.00
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,847,840,0.0000,30.00,9.817,0.338,9.782,10.324,10.724,13.062,10.410,0.628,0,907,907,1.0000,46.68,50.00
cam-both-gscam+gst_bridge-mjpeg-rtp,stream,836,840,0.0048,30.00,17.972,0.600,17.904,18.874,20.173,21.718,21.153,3.249,0,896,896,1.0000,40.50,44.00
cam-both-gscam+gst_bridge-mjpeg-rtp,ros_raw,848,840,0.0000,30.00,7.936,0.344,7.907,8.471,8.929,10.401,11.155,3.249,0,908,908,1.0000,40.50,44.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,16.236,0.474,16.197,16.859,17.882,20.432,16.838,0.642,0,898,898,1.0000,33.71,36.00
ros-stream-gst_bridge-raw-rtp,stream,837,840,0.0036,30.00,15.198,0.593,15.134,16.005,17.259,20.922,19.876,4.742,0,897,897,1.0000,19.04,20.00
ros-stream-rcs-jpeg-webrtc,stream,827,840,0.0155,30.00,15.348,0.727,15.250,16.522,17.916,18.990,15.250,0.000,0,887,887,1.0000,13.36,16.00
cam-ros-gscam-yuv,ros_raw,818,840,0.0262,30.00,8.876,0.303,8.840,9.202,9.534,12.438,9.480,0.640,0,878,878,1.0000,23.93,26.00
ros-stream-web_video_server-raw-mjpeg,stream,836,840,0.0048,30.00,11.878,0.747,11.804,13.014,14.287,16.464,16.567,4.763,0,896,896,1.0000,35.64,38.00
