scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-ros-rcs-yuv,ros_raw,821,840,0.0226,30.00,6.475,0.437,6.414,6.804,7.988,11.090,7.060,0.646,0,881,881,1.0000,14.43,16.00
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,835,840,0.0060,30.00,14.833,0.389,14.779,15.304,16.195,18.822,15.412,0.633,0,895,895,1.0000,27.43,30.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,18.005,0.822,17.876,19.698,21.223,24.792,21.276,3.400,0,898,898,1.0000,41.04,44.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,847,840,0.0000,30.01,7.846,0.654,7.738,8.569,10.852,14.291,11.138,3.400,0,907,907,1.0000,41.04,44.00
ros-stream-rtsp_fkie-raw-h264,stream,835,840,0.0060,30.00,11.587,0.429,11.512,12.389,13.495,14.061,16.316,4.804,0,895,895,1.0000,12.43,14.00
ros-stream-rcs-jpeg-rtp,stream,823,840,0.0202,30.00,13.299,0.738,13.195,14.530,15.718,16.374,16.180,2.985,0,883,883,1.0000,13.36,14.50
ros-stream-gst_bridge-raw-rtp,stream,838,840,0.0024,30.00,20.036,0.822,19.883,21.552,22.770,28.890,19.883,0.000,0,898,898,1.0000,18.96,20.00
cam-ros-rcs-mjpeg,ros_jpeg,823,840,0.0202,30.00,2.507,0.288,2.491,2.969,3.281,4.264,5.734,3.244,0,883,883,1.0000,0.75,2.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,15.971,0.616,15.945,16.951,18.044,23.389,16.577,0.632,0,896,896,1.0000,30.89,34.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.00,7.678,0.783,7.507,8.828,11.461,16.132,8.138,0.632,0,960,960,1.0000,30.89,34.00
cam-stream-usb_cam+ffmpeg_transport-yuv-h264,stream,834,840,0.0071,30.00,21.110,0.612,20.996,22.045,23.357,25.900,21.620,0.624,0,894,894,1.0000,32.39,34.00
cam-ros-rcs-mjpeg-decoded,ros_raw,818,840,0.0262,30.00,11.343,0.596,11.417,12.085,12.640,16.611,14.742,3.325,0,878,878,1.0000,26.43,28.50
cam-both-rcs-yuv-rtp,stream,818,840,0.0262,30.00,10.603,0.663,10.506,11.319,13.581,15.673,11.154,0.649,0,878,878,1.0000,24.79,30.00
cam-both-rcs-yuv-rtp,ros_raw,818,840,0.0262,30.00,6.628,0.509,6.552,6.958,8.403,14.045,7.200,0.649,0,878,878,1.0000,24.79,30.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.496,0.510,16.457,17.236,18.492,20.151,17.099,0.641,0,897,897,1.0000,34.46,36.00
ros-stream-rcs-jpeg-webrtc,stream,797,840,0.0512,30.00,12.334,0.786,12.183,13.741,14.922,16.127,15.177,2.993,0,857,857,1.0000,13.46,16.00
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,17.552,0.596,17.518,18.507,19.564,21.916,18.152,0.634,0,897,897,1.0000,38.00,40.00
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,846,840,0.0000,30.00,7.496,0.264,7.461,7.873,8.438,10.257,8.096,0.634,0,906,906,1.0000,38.00,40.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,836,840,0.0048,30.00,14.198,0.716,14.018,15.435,16.672,19.445,14.651,0.634,0,896,896,1.0000,41.36,46.00
ros-stream-rcs-raw-rtp,stream,824,840,0.0190,30.00,21.254,0.547,21.199,22.160,23.146,24.725,21.199,0.000,0,884,884,1.0000,18.96,20.00
cam-both-gscam+gst_bridge-mjpeg-rtp,stream,837,840,0.0036,30.00,17.965,0.677,17.950,18.885,20.240,22.140,21.250,3.301,0,897,897,1.0000,40.43,42.00
