scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-ros-rcs-mjpeg-decoded,ros_raw,821,840,0.0226,30.00,11.525,0.604,11.543,12.226,12.757,18.869,14.840,3.298,0,881,881,1.0000,26.64,28.00
cam-ros-gscam-mjpeg,ros_raw,824,840,0.0190,30.01,9.113,0.707,9.045,9.635,10.786,19.808,12.504,3.458,0,884,884,1.0000,26.43,28.00
cam-both-rcs-yuv-webrtc,stream,822,840,0.0214,30.00,9.519,0.589,9.430,10.447,12.184,13.305,10.067,0.638,0,882,882,1.0000,23.54,26.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.00,6.512,0.278,6.470,6.811,8.009,9.204,7.108,0.638,0,960,960,1.0000,23.54,26.00
ros-stream-rcs-jpeg-rtp,stream,824,840,0.0190,30.00,13.286,0.742,13.214,14.459,15.559,15.914,16.182,2.967,0,884,884,1.0000,13.39,16.00
ros-stream-rcs-raw-rtp,stream,823,840,0.0202,30.00,16.453,0.622,16.373,17.428,18.494,22.407,21.127,4.754,0,883,883,1.0000,19.11,20.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,21.302,0.809,21.234,22.376,24.172,28.349,21.862,0.628,0,893,893,1.0000,36.50,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,30.00,14.357,2.022,14.610,15.353,17.507,38.229,15.239,0.628,0,960,960,1.0000,36.50,38.00
cam-stream-floor,stream,839,840,0.0012,30.00,8.426,0.750,8.346,8.901,12.801,14.356,8.973,0.627,0,899,899,1.0000,7.89,10.00
cam-both-gscam+gst_bridge-mjpeg-rtp,stream,837,840,0.0036,30.00,18.184,0.613,18.121,19.095,20.441,21.736,21.407,3.286,0,897,897,1.0000,40.96,44.00
cam-both-gscam+gst_bridge-mjpeg-rtp,ros_raw,849,840,0.0000,30.00,8.018,0.341,8.010,8.588,8.881,9.755,11.296,3.286,0,909,909,1.0000,40.96,44.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,836,840,0.0048,30.00,15.435,1.119,15.215,17.476,20.011,20.906,15.846,0.631,0,896,896,1.0000,50.29,54.00
cam-ros-rcs-yuv,ros_raw,828,840,0.0143,30.01,6.509,0.769,6.413,6.733,9.897,15.047,7.050,0.637,0,888,888,1.0000,14.54,17.50
cam-ros-rcs-mjpeg,ros_jpeg,820,840,0.0238,30.00,2.531,0.370,2.491,3.081,3.871,6.130,5.731,3.239,0,880,880,1.0000,0.82,2.50
cam-stream-rcs-yuv-rtp,stream,824,840,0.0190,30.00,10.287,0.541,10.230,11.013,12.673,14.097,10.870,0.640,0,884,884,1.0000,9.50,12.00
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,835,840,0.0060,30.00,14.816,0.443,14.740,15.397,16.862,19.215,15.367,0.627,0,895,895,1.0000,27.00,30.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,835,840,0.0060,30.00,15.999,0.657,16.000,16.971,18.120,21.405,16.639,0.639,0,895,895,1.0000,30.61,32.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.01,7.963,1.543,7.574,9.109,17.039,19.507,8.212,0.639,0,960,960,1.0000,30.61,32.00
ros-stream-rcs-jpeg-webrtc,stream,827,840,0.0155,30.00,15.315,0.662,15.231,16.413,17.283,18.849,15.231,0.000,0,887,887,1.0000,13.29,14.50
cam-both-rcs-mjpeg-rtp,stream,823,840,0.0202,30.00,8.831,0.594,8.746,9.772,10.876,11.953,11.989,3.243,0,883,883,1.0000,3.61,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,824,840,0.0190,30.00,2.665,0.352,2.644,3.146,4.137,4.467,5.887,3.243,0,884,884,1.0000,3.61,6.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,18.015,0.780,17.950,19.239,21.406,24.513,21.232,3.282,0,898,898,1.0000,40.68,44.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,854,840,0.0000,30.01,7.938,0.675,7.873,8.588,10.734,16.424,11.155,3.282,0,914,914,1.0000,40.68,44.00
ros-stream-ffmpeg_transport-raw-h264,stream,833,840,0.0083,30.00,17.738,0.575,17.664,18.536,19.165,27.569,22.386,4.722,0,893,893,1.0000,,
cam-stream-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,21.115,0.750,21.003,22.066,24.740,27.085,21.633,0.631,0,893,893,1.0000,32.36,34.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.424,0.542,16.376,17.099,18.553,23.695,17.016,0.639,0,897,897,1.0000,34.04,36.00
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,17.677,0.556,17.626,18.300,19.940,21.856,18.270,0.644,0,898,898,1.0000,38.46,42.00
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,852,840,0.0000,30.01,7.641,0.666,7.549,7.923,11.357,15.014,8.193,0.644,0,912,912,1.0000,38.46,42.00
cam-both-gscam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,17.835,0.513,17.795,18.668,19.916,21.437,18.418,0.623,0,898,898,1.0000,38.57,40.50
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,848,840,0.0000,30.01,7.761,0.565,7.693,8.110,9.208,15.766,8.316,0.623,0,908,908,1.0000,38.57,40.50
cam-both-rcs-mjpeg-decoded-rtp,stream,816,840,0.0286,30.00,9.093,0.587,9.080,9.929,10.950,11.848,12.426,3.345,0,876,876,1.0000,21.36,25.00
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,816,840,0.0286,30.00,8.917,0.524,8.835,9.431,10.895,14.735,12.180,3.345,0,876,876,1.0000,21.36,25.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.718,0.591,16.653,17.483,19.774,20.394,17.289,0.636,0,897,897,1.0000,34.68,38.00
cam-ros-gscam-yuv,ros_raw,825,840,0.0179,30.01,8.928,0.576,8.862,9.252,11.848,17.714,9.510,0.648,0,885,885,1.0000,24.14,26.00
ros-stream-gst_bridge-raw-rtp,stream,837,840,0.0036,30.00,15.197,0.586,15.134,15.938,17.429,19.534,19.871,4.738,0,897,897,1.0000,18.96,20.00
cam-both-rcs-yuv-rtp,stream,817,840,0.0274,30.00,10.623,0.695,10.501,11.577,13.588,15.592,11.149,0.648,0,877,877,1.0000,24.86,28.50
cam-both-rcs-yuv-rtp,ros_raw,817,840,0.0274,30.00,6.570,0.284,6.535,6.811,8.002,10.037,7.183,0.648,0,877,877,1.0000,24.86,28.50
cam-ros-usb_cam-yuv,ros_raw,823,840,0.0202,30.01,6.516,1.008,6.348,6.759,12.858,15.689,6.992,0.643,0,883,883,1.0000,15.21,16.50
ros-stream-rtsp_fkie-raw-h264,stream,836,840,0.0048,30.00,11.566,0.491,11.494,12.133,13.432,19.518,16.321,4.827,0,896,896,1.0000,12.46,14.00
ros-stream-rcs-raw-webrtc,stream,797,840,0.0512,30.00,15.769,0.785,15.633,17.164,19.024,21.523,20.445,4.812,0,857,857,1.0000,19.21,22.00
cam-stream-rcs-yuv-webrtc,stream,826,840,0.0167,30.00,9.244,0.493,9.203,9.924,11.225,12.782,9.822,0.619,0,886,886,1.0000,9.04,10.50
cam-ros-usb_cam-mjpeg,ros_raw,817,840,0.0274,30.01,6.844,1.263,6.630,7.481,14.745,17.049,9.839,3.209,0,877,877,1.0000,17.21,20.00
ros-stream-web_video_server-raw-mjpeg,stream,835,840,0.0060,30.00,11.799,0.929,11.718,13.056,16.108,18.210,16.454,4.736,0,895,895,1.0000,35.46,38.00
