scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
ros-stream-rtsp_fkie-raw-h264,stream,836,840,0.0048,30.00,11.525,0.499,11.457,12.001,13.495,17.797,16.310,4.854,0,896,896,1.0000,12.46,14.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,18.181,0.756,18.063,19.509,21.393,23.795,21.314,3.251,0,898,898,1.0000,41.07,44.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,846,840,0.0000,30.00,7.941,0.427,7.897,8.592,9.164,10.910,11.148,3.251,0,906,906,1.0000,41.07,44.00
cam-stream-rcs-yuv-rtp,stream,820,840,0.0238,30.00,10.395,0.503,10.330,11.121,12.124,14.080,10.966,0.637,0,880,880,1.0000,9.61,12.00
cam-both-rcs-mjpeg-decoded-rtp,stream,819,840,0.0250,30.00,9.070,0.569,9.042,9.906,10.879,11.822,12.346,3.304,0,879,879,1.0000,21.64,24.50
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,820,840,0.0238,30.01,8.999,0.899,8.874,9.494,14.452,17.827,12.178,3.304,0,880,880,1.0000,21.64,24.50
ros-stream-rcs-raw-webrtc,stream,826,840,0.0167,30.00,15.661,0.601,15.600,16.391,18.071,21.857,20.363,4.763,0,886,886,1.0000,19.14,20.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,838,840,0.0024,29.99,16.695,0.540,16.631,17.388,18.789,20.409,17.273,0.642,0,898,898,1.0000,34.68,36.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,16.438,0.730,16.329,17.714,20.163,21.182,16.964,0.635,0,898,898,1.0000,34.04,36.50
cam-both-rcs-yuv-webrtc,stream,817,840,0.0274,30.00,9.594,0.733,9.439,10.843,12.706,14.286,10.075,0.636,0,877,877,1.0000,23.79,26.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.00,6.598,0.384,6.553,6.911,7.377,11.513,7.188,0.636,0,960,960,1.0000,23.79,26.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,834,840,0.0071,30.00,21.272,0.918,21.220,22.431,24.176,28.052,21.847,0.628,0,894,894,1.0000,36.25,38.00
