scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-ros-rcs-yuv,ros_raw,822,840,0.0214,30.00,6.418,0.336,6.382,6.709,7.364,10.772,7.024,0.642,0,882,882,1.0000,14.32,16.00
ros-stream-rcs-jpeg-rtp,stream,823,840,0.0202,30.00,13.462,0.765,13.422,14.706,15.832,17.296,16.555,3.132,0,883,883,1.0000,13.54,16.00
cam-stream-rcs-yuv-rtp,stream,818,840,0.0262,30.00,10.258,0.516,10.224,10.894,12.611,13.588,10.864,0.640,0,878,878,1.0000,9.57,12.00
cam-both-rcs-yuv-rtp,stream,819,840,0.0250,30.00,10.312,0.667,10.172,11.261,13.185,15.619,10.813,0.640,0,879,879,1.0000,24.00,26.50
cam-both-rcs-yuv-rtp,ros_raw,819,840,0.0250,30.00,6.480,0.322,6.432,6.777,7.798,10.089,7.073,0.640,0,879,879,1.0000,24.00,26.50
ros-stream-rcs-jpeg-webrtc,stream,827,840,0.0155,30.00,11.935,0.725,11.840,13.027,14.737,16.552,14.826,2.986,0,887,887,1.0000,13.04,14.50
cam-both-rcs-yuv-webrtc,stream,818,840,0.0262,30.00,9.648,0.707,9.479,10.851,12.854,13.214,10.118,0.639,0,878,878,1.0000,32.54,34.50
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.00,9.199,0.425,9.104,9.764,10.741,13.306,9.743,0.639,0,960,960,1.0000,32.54,34.50
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,18.114,0.717,18.021,19.286,21.012,22.170,21.226,3.205,0,898,898,1.0000,40.64,42.50
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,845,840,0.0000,30.00,7.861,0.420,7.828,8.532,8.960,10.886,11.033,3.205,0,905,905,1.0000,40.64,42.50
cam-stream-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.01,21.247,0.744,21.154,22.188,23.744,29.105,21.788,0.634,0,893,893,1.0000,32.68,34.00
cam-both-rcs-mjpeg-rtp,stream,819,840,0.0250,30.00,8.648,0.630,8.579,9.480,10.922,14.859,11.950,3.371,0,879,879,1.0000,3.54,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,819,840,0.0250,30.01,2.710,0.679,2.575,3.642,5.066,10.939,5.947,3.371,0,879,879,1.0000,3.54,6.00
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,17.583,0.615,17.529,18.488,20.392,21.743,18.162,0.633,0,897,897,1.0000,38.14,42.00
