scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
ros-stream-rcs-raw-webrtc,stream,827,840,0.0155,30.00,15.712,0.547,15.658,16.597,17.750,18.621,20.429,4.772,0,887,887,1.0000,19.14,20.00
cam-stream-floor,stream,839,840,0.0012,30.01,8.533,0.796,8.424,9.585,13.202,15.619,9.063,0.638,0,899,899,1.0000,8.14,10.00
ros-stream-gst_bridge-raw-rtp,stream,837,840,0.0036,30.00,15.190,0.617,15.127,16.170,17.566,20.632,19.850,4.723,0,897,897,1.0000,19.00,20.50
ros-stream-web_video_server-raw-mjpeg,stream,835,840,0.0060,30.00,11.811,0.885,11.692,13.133,15.672,17.026,16.445,4.754,0,895,895,1.0000,35.36,38.00
cam-ros-usb_cam-yuv,ros_raw,816,840,0.0286,30.01,6.544,0.827,6.384,6.947,11.646,13.980,7.036,0.653,0,876,876,1.0000,15.61,16.50
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,14.908,0.458,14.822,15.657,16.858,18.677,15.461,0.639,0,896,896,1.0000,27.25,30.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,17.889,0.543,17.838,18.729,19.635,20.703,21.082,3.244,0,898,898,1.0000,40.50,42.50
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,848,840,0.0000,30.00,7.912,0.386,7.874,8.540,8.883,10.628,11.118,3.244,0,908,908,1.0000,40.50,42.50
ros-stream-rcs-jpeg-webrtc,stream,797,840,0.0512,30.00,12.226,0.704,12.137,13.348,14.745,15.580,15.127,2.989,0,857,857,1.0000,13.11,16.00
cam-ros-rcs-yuv,ros_raw,820,840,0.0238,30.00,6.392,0.290,6.370,6.679,6.932,11.203,7.018,0.647,0,880,880,1.0000,14.29,16.00
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,17.616,0.652,17.557,18.427,20.767,21.968,18.189,0.632,0,898,898,1.0000,38.07,40.50
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,847,840,0.0000,30.00,7.481,0.266,7.457,7.797,8.141,11.120,8.089,0.632,0,907,907,1.0000,38.07,40.50
cam-both-rcs-mjpeg-decoded-rtp,stream,817,840,0.0274,30.00,8.967,0.556,8.929,9.888,10.526,12.129,12.185,3.256,0,877,877,1.0000,21.43,24.00
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,817,840,0.0274,30.00,9.033,0.726,8.915,9.677,14.033,14.982,12.172,3.256,0,877,877,1.0000,21.43,24.00
cam-both-rcs-mjpeg-rtp,stream,818,840,0.0262,30.00,8.835,0.553,8.820,9.664,10.692,11.800,12.118,3.298,0,878,878,1.0000,3.64,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,818,840,0.0262,30.00,2.575,0.370,2.530,3.122,4.153,5.320,5.828,3.298,0,878,878,1.0000,3.64,6.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,834,840,0.0071,30.00,21.222,0.743,21.208,22.162,23.209,27.875,21.838,0.630,0,894,894,1.0000,35.89,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,29.99,14.234,2.293,14.519,15.120,17.019,44.762,15.149,0.630,0,960,960,1.0000,35.89,38.00
cam-both-rcs-yuv-webrtc,stream,823,840,0.0202,30.00,9.527,0.681,9.396,10.705,12.484,14.046,10.030,0.634,0,883,883,1.0000,23.82,26.00
cam-both-rcs-yuv-webrtc,ros_raw,900,840,0.0000,30.00,6.630,0.508,6.550,7.054,9.032,11.416,7.184,0.634,0,960,960,1.0000,23.82,26.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.565,0.490,16.570,17.129,18.497,20.057,17.208,0.638,0,897,897,1.0000,34.32,36.00
ros-stream-rcs-raw-rtp,stream,823,840,0.0202,30.00,16.762,0.759,16.639,17.815,19.568,24.200,21.399,4.760,0,883,883,1.0000,19.21,20.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,15.779,0.534,15.813,16.506,17.513,20.518,16.443,0.630,0,896,896,1.0000,30.61,32.50
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.01,7.769,1.082,7.489,8.842,13.635,16.485,8.119,0.630,0,960,960,1.0000,30.61,32.50
ros-stream-rcs-jpeg-rtp,stream,824,840,0.0190,30.00,13.250,0.760,13.171,14.489,15.638,16.153,16.133,2.962,0,884,884,1.0000,13.32,16.00
cam-ros-rcs-mjpeg-decoded,ros_raw,819,840,0.0250,30.00,9.517,0.729,9.535,10.186,12.645,15.867,12.812,3.277,0,879,879,1.0000,18.25,20.50
cam-both-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,17.878,0.523,17.826,18.612,19.868,21.436,18.468,0.641,0,897,897,1.0000,38.50,40.00
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,856,840,0.0000,30.00,7.723,0.308,7.680,8.074,8.652,11.313,8.321,0.641,0,916,916,1.0000,38.50,40.00
cam-stream-rcs-yuv-webrtc,stream,824,840,0.0190,30.00,9.319,0.504,9.292,9.974,11.362,12.680,9.910,0.617,0,884,884,1.0000,9.25,10.00
cam-ros-rcs-mjpeg,ros_jpeg,825,840,0.0179,30.00,2.528,0.352,2.483,3.019,3.387,5.678,5.693,3.209,0,885,885,1.0000,0.82,2.00
cam-ros-gscam-yuv,ros_raw,825,840,0.0179,30.00,8.841,0.301,8.820,9.191,9.561,13.493,9.452,0.632,0,885,885,1.0000,23.79,26.00
ros-stream-ffmpeg_transport-raw-h264,stream,833,840,0.0083,30.00,17.919,0.703,17.811,18.685,20.151,28.926,22.617,4.805,0,893,893,1.0000,,
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,835,840,0.0060,30.00,15.202,0.920,15.024,16.768,18.811,20.762,15.659,0.635,0,895,895,1.0000,49.86,54.00
cam-both-rcs-yuv-rtp,stream,819,840,0.0250,30.00,10.608,0.773,10.520,12.351,13.642,14.908,11.168,0.648,0,879,879,1.0000,33.68,36.00
cam-both-rcs-yuv-rtp,ros_raw,819,840,0.0250,30.00,8.936,0.522,8.856,9.294,10.561,15.200,9.504,0.648,0,879,879,1.0000,33.68,36.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.340,0.577,16.287,16.934,18.863,21.089,16.927,0.640,0,897,897,1.0000,34.00,36.00
cam-stream-rcs-yuv-rtp,stream,821,840,0.0226,30.00,10.247,0.486,10.205,11.000,11.928,13.317,10.847,0.642,0,881,881,1.0000,9.71,12.00
cam-ros-usb_cam-mjpeg,ros_raw,823,840,0.0202,30.00,6.630,0.392,6.600,7.258,7.660,9.578,9.946,3.347,0,883,883,1.0000,17.50,20.00
cam-ros-gscam-mjpeg,ros_raw,827,840,0.0155,30.01,6.875,0.716,6.800,7.383,10.077,15.232,10.094,3.294,0,887,887,1.0000,17.89,20.00
ros-stream-rtsp_fkie-raw-h264,stream,835,840,0.0060,30.00,11.477,0.386,11.419,12.056,12.889,15.680,16.189,4.770,0,895,895,1.0000,12.36,14.00
