scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-stream-rcs-yuv-webrtc,stream,824,840,0.0190,30.00,9.228,0.420,9.229,9.725,11.110,12.284,9.858,0.629,0,884,884,1.0000,9.00,10.00
cam-both-usb_cam+gst_bridge-mjpeg-rtp,stream,838,840,0.0024,30.00,17.937,0.656,17.904,19.078,19.959,23.100,21.181,3.277,0,898,898,1.0000,40.50,42.50
cam-both-usb_cam+gst_bridge-mjpeg-rtp,ros_raw,853,840,0.0000,30.01,7.805,0.583,7.727,8.426,10.202,13.377,11.003,3.277,0,913,913,1.0000,40.50,42.50
cam-both-usb_cam+ffmpeg_transport-yuv-h264,stream,834,840,0.0071,30.00,21.394,0.689,21.350,22.302,23.297,27.721,21.976,0.626,0,894,894,1.0000,36.46,38.00
cam-both-usb_cam+ffmpeg_transport-yuv-h264,ros_raw,900,840,0.0000,30.00,14.603,1.773,14.726,15.357,17.749,40.977,15.352,0.626,0,960,960,1.0000,36.46,38.00
cam-ros-rcs-mjpeg-decoded,ros_raw,817,840,0.0274,30.00,9.212,0.618,9.275,9.843,10.404,15.469,12.558,3.283,0,877,877,1.0000,18.04,20.00
cam-ros-gscam-mjpeg,ros_raw,821,840,0.0226,30.01,6.891,0.608,6.829,7.380,7.725,14.676,10.166,3.337,0,881,881,1.0000,18.11,20.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,836,840,0.0048,30.00,15.980,0.655,15.954,17.039,18.231,19.567,16.587,0.632,0,896,896,1.0000,30.71,34.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.01,7.929,1.494,7.526,9.209,16.513,17.919,8.158,0.632,0,960,960,1.0000,30.71,34.00
ros-stream-rcs-jpeg-rtp,stream,823,840,0.0202,30.00,13.229,0.814,13.140,14.547,15.829,17.315,16.151,3.011,0,883,883,1.0000,13.32,16.00
cam-both-rcs-mjpeg-decoded-rtp,stream,823,840,0.0202,30.00,8.866,0.533,8.828,9.685,10.820,11.504,12.097,3.269,0,883,883,1.0000,29.82,32.00
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,823,840,0.0202,30.00,11.271,0.553,11.231,11.777,12.908,17.721,14.500,3.269,0,883,883,1.0000,29.82,32.00
cam-both-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,20.036,0.585,19.973,20.976,22.221,23.411,20.605,0.632,0,897,897,1.0000,46.68,48.50
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,847,840,0.0000,30.00,9.925,0.304,9.891,10.329,10.765,13.325,10.523,0.632,0,907,907,1.0000,46.68,48.50
ros-stream-ffmpeg_transport-raw-h264,stream,834,840,0.0071,30.00,22.664,0.485,22.597,23.480,24.100,27.116,22.597,0.000,0,894,894,1.0000,,
ros-stream-rcs-raw-rtp,stream,823,840,0.0202,30.00,16.819,0.720,16.697,18.117,19.331,22.671,21.423,4.726,0,883,883,1.0000,19.43,22.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,835,840,0.0060,30.00,15.211,0.835,15.143,16.597,18.713,20.971,15.773,0.630,0,895,895,1.0000,50.04,54.00
cam-ros-rcs-mjpeg,ros_jpeg,828,840,0.0143,30.00,2.467,0.324,2.419,2.968,3.567,4.562,5.692,3.272,0,888,888,1.0000,0.75,2.00
cam-both-rcs-yuv-rtp,stream,824,840,0.0190,30.00,10.387,0.526,10.294,11.107,12.260,14.008,10.935,0.641,0,884,884,1.0000,24.18,26.00
cam-both-rcs-yuv-rtp,ros_raw,824,840,0.0190,30.00,6.529,0.283,6.505,6.775,7.243,10.956,7.146,0.641,0,884,884,1.0000,24.18,26.00
cam-stream-floor,stream,839,840,0.0012,30.00,8.577,0.815,8.450,10.137,13.395,13.597,9.087,0.637,0,899,899,1.0000,8.21,10.00
