scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-both-gscam+gst_bridge-yuv-rtp,stream,838,840,0.0024,30.00,20.097,0.553,20.037,20.834,22.264,23.819,20.660,0.624,0,898,898,1.0000,46.89,50.00
cam-both-gscam+gst_bridge-yuv-rtp,ros_raw,847,840,0.0000,30.00,10.064,0.326,10.015,10.503,11.302,13.632,10.639,0.624,0,907,907,1.0000,46.89,50.00
ros-stream-rcs-jpeg-webrtc,stream,827,840,0.0155,30.00,12.286,0.820,12.184,13.750,15.011,19.390,15.154,2.970,0,887,887,1.0000,13.43,16.00
cam-both-usb_cam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,17.743,0.664,17.685,18.688,21.047,24.232,18.313,0.628,0,897,897,1.0000,38.43,40.00
cam-both-usb_cam+gst_bridge-yuv-rtp,ros_raw,845,840,0.0000,30.00,7.547,0.331,7.512,7.897,8.338,13.985,8.140,0.628,0,905,905,1.0000,38.43,40.00
cam-stream-floor,stream,839,840,0.0012,30.00,8.471,0.529,8.426,9.133,10.477,12.370,9.059,0.633,0,899,899,1.0000,7.96,10.00
cam-stream-gscam+gst_bridge-yuv-rtp,stream,837,840,0.0036,30.00,16.536,0.478,16.516,17.043,18.604,20.413,17.152,0.636,0,897,897,1.0000,34.57,36.50
ros-stream-ffmpeg_transport-raw-h264,stream,833,840,0.0083,30.00,17.992,0.498,17.926,18.811,19.499,22.661,22.685,4.758,0,893,893,1.0000,,
cam-ros-rcs-mjpeg-decoded,ros_raw,819,840,0.0250,30.00,11.726,0.476,11.716,12.388,12.955,16.890,14.981,3.265,0,879,879,1.0000,26.50,28.00
cam-both-rcs-yuv-rtp,stream,825,840,0.0179,30.00,10.551,0.617,10.419,11.272,12.821,14.544,11.064,0.644,0,885,885,1.0000,24.43,26.00
cam-both-rcs-yuv-rtp,ros_raw,825,840,0.0179,30.00,6.581,0.289,6.560,6.812,7.330,11.326,7.204,0.644,0,885,885,1.0000,24.43,26.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,stream,835,840,0.0060,30.00,15.897,0.629,15.920,16.590,17.537,24.693,16.546,0.626,0,895,895,1.0000,30.57,34.00
cam-both-usb_cam+rtsp_fkie-yuv-h264,ros_raw,900,840,0.0000,30.01,7.926,1.526,7.517,9.124,16.375,18.479,8.143,0.626,0,960,960,1.0000,30.57,34.00
ros-stream-rcs-jpeg-rtp,stream,824,840,0.0190,30.00,12.957,0.775,12.791,14.511,15.046,15.696,15.760,2.969,0,884,884,1.0000,13.04,16.00
cam-stream-usb_cam+ffmpeg_transport-yuv-h264,stream,833,840,0.0083,30.00,20.965,0.602,20.900,21.805,22.549,27.908,21.524,0.625,0,893,893,1.0000,32.29,34.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,836,840,0.0048,30.00,15.215,0.926,15.069,16.951,18.619,20.511,15.683,0.614,0,896,896,1.0000,49.93,52.50
cam-stream-rcs-yuv-webrtc,stream,821,840,0.0226,30.00,9.379,0.528,9.331,10.109,11.872,12.454,9.971,0.640,0,881,881,1.0000,9.39,12.00
ros-stream-web_video_server-raw-mjpeg,stream,835,840,0.0060,30.00,16.517,0.809,16.465,17.659,18.588,24.023,16.465,0.000,0,895,895,1.0000,35.00,36.50
cam-both-rcs-mjpeg-decoded-rtp,stream,826,840,0.0167,30.00,9.160,0.586,9.110,10.095,10.710,12.650,12.292,3.182,0,886,886,1.0000,21.21,24.00
cam-both-rcs-mjpeg-decoded-rtp,ros_raw,826,840,0.0167,30.00,9.093,0.591,9.021,9.627,11.812,17.882,12.203,3.182,0,886,886,1.0000,21.21,24.00
cam-both-rcs-mjpeg-rtp,stream,818,840,0.0262,30.00,8.761,0.505,8.743,9.562,10.536,11.798,12.048,3.305,0,878,878,1.0000,3.61,6.00
cam-both-rcs-mjpeg-rtp,ros_jpeg,819,840,0.0250,30.00,2.557,0.294,2.530,3.001,3.311,5.247,5.835,3.305,0,879,879,1.0000,3.61,6.00
